team,salary,player,position,season
Milwaukee Bucks,2961120,D.J. Wilson, PF,2019-2020
Cleveland Cavaliers,2907143,Cedi Osman, SF,2019-2020
Milwaukee Bucks,2905800,Donte DiVincenzo, SG,2019-2020
San Antonio Spurs,2875000,Bryn Forbes, SG,2019-2020
Indiana Pacers,2816760,Goga Bitadze, C,2019-2020
Indiana Pacers,2813280,T.J. Leaf, PF,2019-2020
Los Angeles Lakers,2750000,Alex Caruso, SG,2019-2020
Minnesota Timberwolves,2731714,Malik Beasley, SG,2019-2020
San Antonio Spurs,2689920,Luka Samanic, PF,2019-2020
San Antonio Spurs,2689920,Lonnie Walker IV, SG,2019-2020
Atlanta Hawks,2686560,John Collins, PF,2019-2020
Atlanta Hawks,2636280,Kevin Huerter, SG,2019-2020
Brooklyn Nets,2625718,Caris LeVert, SG,2019-2020
Memphis Grizzlies,2625000,Marko Guduric, SG,2019-2020
Atlanta Hawks,2603982,DeAndre' Bembry, SG,2019-2020
Philadelphia 76ers,2582160,Matisse Thybulle, SG,2019-2020
Sacramento Kings,2578800,Harry Giles III, C,2019-2020
Milwaukee Bucks,2564753,Wesley Matthews, SG,2019-2020
Los Angeles Lakers,2564753,Rajon Rondo, PG,2019-2020
Atlanta Hawks,2564753,Nene Hilario, C,2019-2020
Minnesota Timberwolves,2530680,Josh Okogie, SF,2019-2020
Boston Celtics,2505793,Vincent Poirier, C,2019-2020
Toronto Raptors,2500000,Rondae Hollis-Jefferson, SF,2019-2020
San Antonio Spurs,2500000,Manu Ginobili, G,2019-2020
Memphis Grizzlies,2478840,Brandon Clarke, SF,2019-2020
Oklahoma City Thunder,2475840,Terrance Ferguson, SF,2019-2020
Philadelphia 76ers,2445085,Emeka Okafor, C,2019-2020
Cleveland Cavaliers,2445085,Kendrick Perkins, C,2019-2020
Memphis Grizzlies,2429400,Grayson Allen, SG,2019-2020
Boston Celtics,2379840,Grant Williams, PF,2019-2020
Brooklyn Nets,2376840,Jarrett Allen, C,2019-2020
Toronto Raptors,2351839,Pascal Siakam, PF,2019-2020
Portland Trail Blazers,2338847,Skal Labissiere, PF,2019-2020
Chicago Bulls,2332320,Chandler Hutchison, SF,2019-2020
Indiana Pacers,2329200,Aaron Holiday, PG,2019-2020
San Antonio Spurs,2321735,Dejounte Murray, PG,2019-2020
Atlanta Hawks,2305057,Damian Jones, C,2019-2020
Oklahoma City Thunder,2284800,Darius Bazley, SF,2019-2020
Toronto Raptors,2281800,OG Anunoby, SF,2019-2020
Cleveland Cavaliers,2281800,Ante Zizic, C,2019-2020
Chicago Bulls,2250000,Luke Kornet, C,2019-2020
Milwaukee Bucks,2222803,Brandon Jennings, G,2019-2020
Phoenix Suns,2193480,Ty Jerome, SG,2019-2020
Golden State Warriors,2177483,Willie Cauley-Stein, C,2019-2020
Portland Trail Blazers,2149560,Anfernee Simons, SG,2019-2020
Houston Rockets,2147317,Austin Rivers, PG,2019-2020
Portland Trail Blazers,2105520,Nassir Little, SF,2019-2020
Washington Wizards,2063520,Moritz Wagner, SF,2019-2020
Chicago Bulls,2054856,Sean Kilpatrick, G,2019-2020
Cleveland Cavaliers,2035800,Dylan Windler, SG,2019-2020
Sacramento Kings,2033160,Caleb Swanigan, PF,2019-2020
Oklahoma City Thunder,2028594,Mike Muscala, PF,2019-2020
Houston Rockets,2028594,Ben McLemore, SF,2019-2020
Indiana Pacers,2000000,Edmond Sumner, PG,2019-2020
Minnesota Timberwolves,2000000,Noah Vonleh, PF,2019-2020
Denver Nuggets,2000000,Torrey Craig, SF,2019-2020
LA Clippers,1995120,Landry Shamet, SG,2019-2020
LA Clippers,1977000,Mfiondu Kabengele, PF,2019-2020
Los Angeles Lakers,1974600,Kyle Kuzma, PF,2019-2020
Golden State Warriors,1964760,Jordan Poole, SG,2019-2020
Utah Jazz,1962360,Tony Bradley, C,2019-2020
San Antonio Spurs,1950600,Keldon Johnson, SF,2019-2020
San Antonio Spurs,1948080,Derrick White, PG,2019-2020
Boston Celtics,1937520,Robert Williams III, C,2019-2020
Minnesota Timberwolves,1925880,Jacob Evans, SG,2019-2020
Brooklyn Nets,1911600,Dzanan Musa, SG,2019-2020
Golden State Warriors,1897800,Omari Spellman, PF,2019-2020
Philadelphia 76ers,1882867,James Ennis III, SF,2019-2020
Washington Wizards,1845301,Shabazz Napier, PG,2019-2020
Memphis Grizzlies,1845301,Bruno Caboclo, SF,2019-2020
Miami Heat,1795015,DeAndre Liggins, G,2019-2020
Los Angeles Lakers,1750000,Markieff Morris, PF,2019-2020
Portland Trail Blazers,1737145,Mario Hezonja, SF,2019-2020
Phoenix Suns,1737145,Cameron Payne, PG,2019-2020
Milwaukee Bucks,1723050,Pat Connaughton, SG,2019-2020
New Orleans Pelicans,1702486,Jahlil Okafor, C,2019-2020
Brooklyn Nets,1699236,Rodions Kurucs, SF,2019-2020
Phoenix Suns,1698450,Jonah Bolden, PF,2019-2020
Phoenix Suns,1678854,Cheick Diallo, PF,2019-2020
Milwaukee Bucks,1678854,Dragan Bender, F,2019-2020
Charlotte Hornets,1676735,Willy Hernangomez, C,2019-2020
Chicago Bulls,1656092,Julyan Stone, G,2019-2020
Chicago Bulls,1656092,MarShon Brooks, G,2019-2020
New Orleans Pelicans,1655160,Josh Hart, SF,2019-2020
Utah Jazz,1645357,Georges Niang, SF,2019-2020
Miami Heat,1645357,Derrick Jones Jr., SF,2019-2020
Detroit Pistons,1645357,Christian Wood, PF,2019-2020
Washington Wizards,1645357,Jordan McRae, SG,2019-2020
Minnesota Timberwolves,1645357,Treveon Graham, SG,2019-2020
Toronto Raptors,1620564,Isaiah Taylor, G,2019-2020
Utah Jazz,1620564,Emmanuel Mudiay, PG,2019-2020
Oklahoma City Thunder,1620564,Nerlens Noel, C,2019-2020
Sacramento Kings,1620564,Tyler Lydon, F,2019-2020
Philadelphia 76ers,1620564,Furkan Korkmaz, SG,2019-2020
Philadelphia 76ers,1620564,Glenn Robinson III, SF,2019-2020
